이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
그랜저IG,24500000,40,37663,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저HG 240,8790000,135,97000,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저IG 3.0,14500000,63,123000,LPG,2999,7.4,전륜 FF,28.6,등록,현대,235,0
그랜저HG 240,7600000,136,110000,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
더 뉴 그랜저 3.3,27900000,33,48706,가솔린,3342,9.7,전륜 FF,35,등록,현대,290,0
더 뉴 그랜저 2.5,30600000,28,41603,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저 2.5,31500000,25,37042,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저 2.5,32900000,24,14892,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,1
더 뉴 그랜저 3.0,29990000,25,40953,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,0
더 뉴 그랜저 2.5,32600000,14,37385,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,1
그랜저HG 240,4800000,125,149110,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,10800000,96,135000,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저IG,24500000,52,101833,가솔린,2359,11,전륜 FF,24.6,미등록,현대,190,1
그랜저IG,13000000,84,154000,LPG,2999,7.6,전륜 FF,28.6,미등록,현대,235,0
그랜저TG Q270,1490000,193,148586,가솔린,2656,9.4,전륜 FF,25.6,등록,현대,195,0
그랜저IG 2.4,14700000,57,72000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저HG 300,7900000,121,100000,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저HG 300,6300000,129,152000,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저HG 하이브리드,11000000,97,147000,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 하이브리드,8500000,101,127000,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 300,5500000,117,119000,가솔린,2999,12,전륜 FF,31.5,등록,현대,270,0
그랜저IG 3.0,15900000,61,80000,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,0
그랜저HG 300,4200000,133,86772,가솔린,2999,11.6,전륜 FF,31.6,등록,현대,270,0
그랜저HG 300,6990000,136,158000,가솔린,2999,11.6,전륜 FF,31.5,등록,현대,270,0
그랜저IG 3.0,16400000,56,121321,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,1
그랜저HG 300,5600000,129,111068,가솔린,2999,11.6,전륜 FF,31.5,등록,현대,270,0
그랜저HG 하이브리드,8400000,106,136659,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 300,8300000,79,105750,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저IG 3.0,14990000,65,119876,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,0
그랜저IG,22000000,49,93400,가솔린,2999,10.1,전륜 FF,31.4,미등록,현대,266,1
더 럭셔리 그랜저,3900000,155,99656,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저HG 하이브리드,11800000,97,173294,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 하이브리드,10900000,73,186271,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저IG,21300000,49,58000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,46,51000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,46,68000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,84,85000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
더 뉴 그랜저 2.5,34900000,27,26000,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
그랜저HG 240,6500000,139,119000,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 220,12500000,108,152000,디젤,2199,13.8,전륜 FF,45,등록,현대,202,0
그랜저HG 240,10000000,113,94386,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,6500000,123,162645,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,6990000,135,97593,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,8900000,85,116174,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저IG 2.2,16990000,63,157505,디젤,2199,14.3,전륜 FF,45,등록,현대,202,0
더 뉴 그랜저 2.5,24990000,28,22268,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,0
그랜저IG 2.4,16990000,58,86782,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 3.0,13900000,40,98616,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저HG,8800000,111,86150,가솔린,2359,11.3,전륜 FF,25.5,미등록,현대,201,0
그랜저IG,23500000,64,94308,LPG,2999,7.4,전륜 FF,28.6,미등록,현대,235,0
더 뉴 그랜저,31800000,15,11184,가솔린,3342,9.7,전륜 FF,35,미등록,현대,290,1
그랜저HG 하이브리드,12000000,107,120137,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저 뉴 럭셔리,1800000,157,208459,가솔린,2359,11.3,전륜 FF,23.6,등록,현대,179,0
그랜저HG 240,7700000,144,148668,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 300,8900000,142,117356,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저HG 하이브리드,10400000,103,193711,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
더 뉴 그랜저 3.3,37700000,3,5800,가솔린,3342,9.6,전륜 FF,35,등록,현대,290,1
그랜저HG,15900000,116,127876,가솔린,2999,10.4,전륜 FF,31.5,미등록,현대,270,0
더 뉴 그랜저 3.3,36500000,21,13050,가솔린,3342,9.7,전륜 FF,35,등록,현대,290,1
그랜저IG 2.2,19300000,51,53900,디젤,2199,14.8,전륜 FF,45,등록,현대,202,1
그랜저TG,2600000,188,165400,LPG,2656,7.4,전륜 FF,25,미등록,현대,165,0
그랜저IG 3.0,13000000,62,230000,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,0
그랜저HG,8900000,89,217883,가솔린,2359,11.3,전륜 FF,25.5,미등록,현대,190,0
그랜저IG 하이브리드,25900000,64,41499,기타,2359,16.2,전륜 FF,26.7,미등록,현대,199,0
더 뉴 그랜저 2.5,26500000,31,80690,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저 2.5,31800000,14,33860,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,1
그랜저IG 3.0,27000000,62,60627,가솔린,2999,9.9,전륜 FF,31.4,등록,현대,266,0
그랜저HG 300,7000000,135,149370,가솔린,2999,11.6,전륜 FF,31.5,등록,현대,270,0
그랜저HG 240,11500000,115,142000,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
그랜저HG,6300000,136,188000,가솔린,2999,11.6,전륜 FF,31.6,미등록,현대,270,0
그랜저HG,5900000,122,233000,가솔린,2999,11.6,전륜 FF,31.5,미등록,현대,270,0
더 뉴 그랜저 3.3,35000000,14,18204,가솔린,3342,9.6,전륜 FF,35,등록,현대,290,0
더 뉴 그랜저 하이브리드,39000000,31,39000,기타,2359,15.2,전륜 FF,21,등록,현대,159,0
더 뉴 그랜저 2.5,34000000,32,28000,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
그랜저IG 하이브리드,16300000,71,192000,기타,2359,16.2,전륜 FF,26.7,미등록,현대,199,1
더 뉴 그랜저 3.3,37000000,22,19000,가솔린,3342,9.6,전륜 FF,35,등록,현대,290,1
그랜저 뉴 럭셔리,3000000,159,15200,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저HG 하이브리드,18500000,88,58000,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저IG 3.0,22000000,56,60500,기타,2999,7.6,전륜 FF,28.6,등록,현대,235,1
그랜저HG 220,11000000,79,137100,디젤,2199,14,전륜 FF,45,등록,현대,202,0
그랜저IG,27000000,58,26416,LPG,2999,7.4,전륜 FF,28.6,미등록,현대,235,1
그랜저IG 3.0,21300000,49,92170,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저IG,23900000,43,14983,가솔린,2359,11.2,전륜 FF,24.6,미등록,현대,190,0
더 뉴 그랜저 하이브리드,41500000,27,17900,기타,2359,15.2,전륜 FF,21,등록,현대,159,0
그랜저TG,2490000,191,132949,가솔린,2359,10.4,전륜 FF,22.6,등록,현대,164,0
그랜저 뉴 럭셔리,3000000,177,165000,LPG,2656,7.6,전륜 FF,25,등록,현대,165,0
그랜저IG 3.0,23900000,37,57778,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저IG 2.4,10000,39,61250,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
그랜저IG 2.4,14300000,51,167192,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG,17900000,69,76624,가솔린,2359,11.2,전륜 FF,24.6,미등록,현대,190,1
그랜저HG 하이브리드,11900000,103,100732,기타,2359,16,전륜 FF,26.7,미등록,현대,199,0
그랜저IG,16900000,63,136266,LPG,2999,7.6,전륜 FF,28.6,미등록,현대,235,1
그랜저HG,8990000,134,128385,가솔린,2999,11.6,전륜 FF,31.5,미등록,현대,270,0
그랜저HG,9300000,109,157250,가솔린,2999,10.4,전륜 FF,31.5,미등록,현대,270,0
그랜저HG 300,8500000,122,163000,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
더 뉴 그랜저 하이브리드,40500000,48,34000,기타,2359,15.2,전륜 FF,21,등록,현대,159,0
더 뉴 그랜저 하이브리드,36990000,29,34000,기타,2359,15.2,전륜 FF,21,미등록,현대,159,0
그랜저HG,5300000,123,214175,가솔린,2359,12.8,전륜 FF,25.5,미등록,현대,201,0
